name,sport,division,conference,nickname,nickname_plural,mascot,primary_color,secondary_color,logo_url,identity_source,identity_notes,conference_champion_2025,conference_champion_name,conference_champion_source,academic_rating,soccer_score
"Adams State",mens-soccer,"NCAA D2",RMAC,Grizzlies,1,"Grizzly bear",#007a53,,https://upload.wikimedia.org/wikipedia/en/a/ae/Adams_State_University_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Adams State University",,,,,5.3,38.32
Adelphi,mens-soccer,"NCAA D2",Northeast-10,Panthers,1,Panther,#4F2C1D,#FFB500,https://upload.wikimedia.org/wikipedia/commons/f/f5/Adelphi_University_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Adelphi University",,,,,6.5,58.45
Adrian,mens-soccer,"NCAA D3",MIAA-D3,Bulldogs,1,Bruiser,#D4AF37,,https://upload.wikimedia.org/wikipedia/commons/6/60/Adrian_college_logo_black.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Adrian College","copied from this school's other-sport row (Adrian College); the article ""Adrian College"" names this institution",,,,6.5,36.16
"Air Force",mens-soccer,"NCAA D1","Mountain West Conference",Falcons,1,,,,,athletics-domain:goairforcefalcons.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""Air Force Academy Athletics - Official Athletics Website"").",,,,7.8,57.61
Akron,mens-soccer,"NCAA D1","Big East Conference",Zips,1,"Zippy the Kangaroo",#041E42,#A89968,https://upload.wikimedia.org/wikipedia/commons/1/16/University_of_Akron_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Akron",,,,,5.6,91.72
"Alabama Huntsville",mens-soccer,"NCAA D2",GSC,Chargers,1,"Charger Blue",#0077C8,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/1/1e/Alabama-Huntsville_UAH_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Alabama in Huntsville",,,,,5.4,54.85
Albany,mens-soccer,"NCAA D1","America East Conference","Great Danes",1,"Great Danes",,,https://upload.wikimedia.org/wikipedia/en/3/3d/Logo_for_the_University_at_Albany_2.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University at Albany",,,,,6.2,67.5
"Albertus Magnus",mens-soccer,"NCAA D3",NAC,Falcons,1,,#003D98,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/1/18/Albertus_magnus_college_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Albertus Magnus College",,,,,6.5,43.78
Albion,mens-soccer,"NCAA D3",MIAA-D3,Britons,1,"Brit the Briton",#4B306A,#FFC845,https://upload.wikimedia.org/wikipedia/commons/e/ec/Albiion_college_full_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Albion College",,,,,6.5,44.0
Albright,mens-soccer,"NCAA D3","MAC Commonwealth",Lions,1,,,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Albright_college_penn_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Albright College",,,,,6.5,38.28
"Alfred State",mens-soccer,"NCAA D3",AMCC,Pioneers,1,"Big Blue",,,https://upload.wikimedia.org/wikipedia/commons/9/94/Alfred_state_college_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Alfred State College",,,,,6.2,47.87
"Alfred University",mens-soccer,"NCAA D3","Empire 8",Saxons,1,,#550D8A,#F5AA01,https://upload.wikimedia.org/wikipedia/en/8/89/Alfredunilogo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Alfred University",,,,,6.6,36.24
"Allan Hancock",mens-soccer,NJCAA,WSC,Bulldogs,1,"Spike the Bulldog",,,,"wikipedia:Allan Hancock College",,,,,5.8,22.06
Allegany,mens-soccer,NJCAA,MDJUCO,,,Trojans,,,,"wikipedia:Allegany College of Maryland",,,,,5.8,22.95
Allegheny,mens-soccer,"NCAA D3",NCAC,Gators,1,Chompers,,,https://upload.wikimedia.org/wikipedia/en/9/91/Alleghenycollegelogo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Allegheny College",,,,,6.5,38.67
"Allen County Community",mens-soccer,NJCAA,KJCCC,,,,,,,,"Cleared on audit: previous match (Allen Community College) failed re-verification",,,,6.0,40.57
Alma,mens-soccer,"NCAA D3",MIAA-D3,Scots,1,Scotty,,,https://upload.wikimedia.org/wikipedia/commons/1/1e/Stacked_2_Maroon.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Alma College","copied from this school's other-sport row (Alma College); the article ""Alma College"" names this institution",,,,6.5,37.16
Alvernia,mens-soccer,"NCAA D3","MAC Commonwealth",Wolves,1,"Golden Wolves",,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Alvernia_University_Logo.PNG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,athletics-domain:auwolves.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""Alvernia University Athletics - Official Athletics Website"").",,,,6.5,40.89
American,mens-soccer,"NCAA D1","Patriot League",Eagles,1,"Clawed Z. Eagle",#ED193A,#004FA2,https://upload.wikimedia.org/wikipedia/commons/c/c6/American_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:American University",,,,,8.1,73.85
"American International",mens-soccer,"NCAA D2",Northeast-10,"Yellow Jackets",1,,,,,athletics-domain:aicyellowjackets.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""American International College - Official Athletics Website"").",,,,5.4,44.86
"American River",mens-soccer,NJCAA,CCCAA,Beavers,1,"Bucky the Beaver",,,,"wikipedia:American River College",,,,,5.8,26.52
Amherst,mens-soccer,"NCAA D3",NESCAC,,,Mammoths,#3f1f69,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/a/a8/Amherst_College_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Amherst College",,,,,10.0,54.57
Ancilla,mens-soccer,NJCAA,MCCAA,Chargers,1,,,,https://upload.wikimedia.org/wikipedia/en/5/59/AncillaCollegeLogo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Ancilla College",,,,,5.8,
"Anderson (IN)",mens-soccer,"NCAA D3",HCAC,Ravens,1,"Rodney the Raven",#F57501,,https://upload.wikimedia.org/wikipedia/commons/7/7b/Anderson_univ_indiana_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Anderson University (Indiana)",,,,,6.5,47.47
"Anderson (SC)",mens-soccer,"NCAA D2",SAC,Trojans,1,"Troy the Trojan",#BCA270,#983141,https://upload.wikimedia.org/wikipedia/en/c/c0/Seal_of_Anderson_University%2C_SC.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Anderson University (South Carolina)",,,,,5.4,59.63
"Andrew College",mens-soccer,NAIA,,,,,,,,,"Added for coaching-contact coverage; soccer_score/academic_rating are placeholders",,,,6.0,45.0
"Anna Maria",mens-soccer,"NCAA D3",MASCAC,Amcats,1,,#A52238,,https://upload.wikimedia.org/wikipedia/en/a/ae/Anna_Maria_College_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Anna Maria College",,,,,6.5,
"Anne Arundel",mens-soccer,NJCAA,MDJUCO,Riverhawks,1,"Swoop the Riverhawk",,,https://upload.wikimedia.org/wikipedia/en/2/26/Anne_Arundel_Community_College.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Anne Arundel Community College",,,,,6.5,35.59
Aquinas,mens-soccer,NAIA,WHAC,,,,,,,,"Cleared on audit: previous match (University of Santo Tomas–Legazpi) failed re-verification",,,,5.6,53.55
Arcadia,mens-soccer,"NCAA D3","MAC Freedom",Knights,1,Archie,#FF2400,#808080,https://upload.wikimedia.org/wikipedia/commons/8/84/Arcadia_univ_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Arcadia University",,,,,6.5,41.65
"Arizona Christian",mens-soccer,NAIA,"Golden State",Firestorm,0,"Firestorm (Stormin' Norman)",,,https://upload.wikimedia.org/wikipedia/en/5/53/Arizona_Christian_University_triangle_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Arizona Christian University",,,,,5.4,51.45
"Arizona Western",mens-soccer,NJCAA,ACCAC,Matadors,1,"Mateo the Matador Andale the Bull",#BA0C2F,#2CCCD3,https://upload.wikimedia.org/wikipedia/commons/9/96/Arizona_Western_College_Logo_New.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Arizona Western College",,,,,5.8,42.92
"Army West Point",mens-soccer,"NCAA D1","Patriot League","Black Knights",1,Mule,#000000,#BE9969,https://upload.wikimedia.org/wikipedia/commons/b/b9/United_States_Military_Academy_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:United States Military Academy",,,,,8.2,70.14
Asbury,mens-soccer,"NCAA D3",CCS,Eagles,1,Eagle,,,,athletics-domain:asburyeagles.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""2026 TeamAU Golf Experience | Register Now! - Asbury University"").",,,,6.5,42.55
Ashland,mens-soccer,"NCAA D2",GLIAC,Eagles,1,"Tuffy the Eagle",#4F2170,#FFC72C,https://upload.wikimedia.org/wikipedia/commons/c/ce/Ashland_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Ashland University",,,,,5.4,54.67
Assumption,mens-soccer,"NCAA D2",Northeast-10,Greyhounds,1,"Pierre the Greyhound",,,https://upload.wikimedia.org/wikipedia/commons/c/c1/Assumpt_univ_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Assumption University (Worcester)",,,,,6.0,47.02
"Atlantic Cape",mens-soccer,NJCAA,NJCAAD3,Buccaneers,1,,,,,"wikipedia:Atlantic Cape Community College",,,,,5.8,30.37
"Auburn Montgomery",mens-soccer,"NCAA D2",GSC,Warhawks,1,Curtiss,#000000,#FA4616,https://upload.wikimedia.org/wikipedia/commons/a/a5/Auburn_univ_montgomery_logo_horiz.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Auburn University at Montgomery",,,,,5.4,60.91
Augsburg,mens-soccer,"NCAA D3",MIAC,Auggies,1,Eagle,,,https://upload.wikimedia.org/wikipedia/commons/f/f8/Augsburg_University_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Augsburg University",,,,,6.5,54.16
"Augustana (IL)",mens-soccer,"NCAA D3",CCIW,Vikings,1,Vikings,#002F6C,#FFDD00,https://upload.wikimedia.org/wikipedia/commons/3/31/Augustana_College_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Augustana College (Illinois)",,,,,8.0,32.48
Aurora,mens-soccer,"NCAA D3",NACC,Spartans,1,,#00467F,#47AA42,https://upload.wikimedia.org/wikipedia/commons/f/fe/Aurora_univ_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Aurora University",,,,,6.5,47.59
"Austin College",mens-soccer,"NCAA D3",ASC,"Kangaroos, The Fighting 'Roos",1,"Rowdy 'Roo",#981E32,#FDB913,,"wikipedia:Austin College",,,,,6.6,38.2
"Ave Maria University",mens-soccer,NAIA,"Sun Conference",Gyrenes,1,,#0033a1,#8a6e4b,https://upload.wikimedia.org/wikipedia/commons/1/1d/Ave_maria_univ_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Ave Maria University","copied from this school's other-sport row (Ave Maria University); the article ""Ave Maria University"" names this institution",,,,,42.64
Averett,mens-soccer,"NCAA D3",ODAC,Cougars,1,"Ave and Rett",#002856,#FFB81D,https://upload.wikimedia.org/wikipedia/en/b/bc/Averett_stacked_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Averett University",,,,,6.5,37.46
Avila,mens-soccer,NAIA,Heart,Eagles,1,"Dominic the Eagle",,,https://upload.wikimedia.org/wikipedia/commons/7/7c/Avila_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Avila University",,,,,5.6,39.51
Babson,mens-soccer,"NCAA D3",NEWMAC,Beavers,1,"Biz E. Beaver",,,https://upload.wikimedia.org/wikipedia/commons/d/db/Logo-Babson-College-Horizontal-RGB_%282%29.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Babson College",,1,NEWMAC,https://newmacsports.com/news/2025/11/8/general-babson-captures-second-straight-newmac-mens-soccer-championship.aspx,9.8,52.94
Baker,mens-soccer,NAIA,KCAC,Wildcats,1,,#fe5a1d,,https://upload.wikimedia.org/wikipedia/commons/2/25/Baker_University_wordmark.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Baker University",,,,,5.6,59.06
"Baldwin Wallace",mens-soccer,"NCAA D3",OAC,"Yellow Jackets",1,Stinger,#654321,,https://upload.wikimedia.org/wikipedia/commons/7/78/Baldwin_Wallace_University.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Baldwin Wallace University",,,,,6.5,39.01
Barclay,mens-soccer,NAIA,KCAC,Bears,1,,,,,athletics-domain:bears.barclay.college,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""Barclay Bears"").",,,,4.7,54.48
Bard,mens-soccer,"NCAA D3","Liberty League",Raptors,1,,#BE0F34,,https://upload.wikimedia.org/wikipedia/commons/5/54/Bard_College_Logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bard College",,,,,9.2,39.05
Barry,mens-soccer,"NCAA D2","Sunshine State",Buccaneers,1,"Bucky the Parrot",#ac1f2d,#000000,https://upload.wikimedia.org/wikipedia/commons/6/64/Barry_university_florida_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Barry University",,,,,6.0,57.56
Barton,mens-soccer,"NCAA D2",SAC,Bulldogs,1,,,,,athletics-domain:bartonbulldogs.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""Summer Camp Page - Barton College - Official Athletics Website"").",,,,5.4,55.74
"Barton County",mens-soccer,NJCAA,KJCCC,,,,,,,,"Cleared on audit: previous match (Barton Community College) failed re-verification",,,,6.0,32.94
Bates,mens-soccer,"NCAA D3",NESCAC,Bobcats,1,,#881124,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Bates_College_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bates College",,,,,9.8,42.55
Belhaven,mens-soccer,"NCAA D3",ASC,Blazers,1,,#093D2D,#FED100,https://upload.wikimedia.org/wikipedia/commons/0/05/Belhaven_University_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Belhaven University",,,,,6.5,44.64
Bellarmine,mens-soccer,"NCAA D1","Atlantic Sun Conference",Knights,1,"Valor the Knight",#660000,#CCCCCC,https://upload.wikimedia.org/wikipedia/commons/3/31/BellarmineWaterMark.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bellarmine University",,,,,5.8,75.47
"Bellevue University",mens-soccer,NAIA,"Continental Athletic Conference",Bruins,1,,#4f3674,#cfa427,https://upload.wikimedia.org/wikipedia/commons/0/0c/Bellevue_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bellevue University","copied from this school's other-sport row (Bellevue University); the article ""Bellevue University"" names this institution",,,,,59.36
Belmont,mens-soccer,"NCAA D1","Missouri Valley Conference",Bruins,1,"Bruiser the Bruin",#001D54,#B21029,https://upload.wikimedia.org/wikipedia/en/0/02/Belmont_University_Full_Color_Logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Belmont University",,,,,7.0,74.31
"Belmont Abbey",mens-soccer,"NCAA D2","Conference USA",Crusaders,1,"Mr. Crusader",#B7202E,#FFFFFF,https://upload.wikimedia.org/wikipedia/en/5/5f/Belmont_Abbey_College_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Belmont Abbey College",,,,,5.4,55.43
Beloit,mens-soccer,"NCAA D3",MWC-D3,,,"Buccaneer (official), Turtle (unofficial)",#00365c,#cd8829,https://upload.wikimedia.org/wikipedia/commons/5/5f/Beloit_Logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Beloit College",,,,,7.8,33.96
"Benedictine (IL)",mens-soccer,"NCAA D3",CCIW,,,,,,,,"No usable Wikipedia infobox found for this name",,,,6.5,37.53
"Benedictine (KS)",mens-soccer,NAIA,"Heart of America Athletic Conference",Ravens,1,,,,,athletics-domain:ravenathletics.com,"confirmed on ravenathletics.com (Benedictine College men's soccer roster, 25 mentions)",,,,,54.34
"Benedictine University at Mesa",mens-soccer,NAIA,"Great Southwest Athletic Conference",,,,,,,,,,,,,49.42
Bentley,mens-soccer,"NCAA D2",Northeast-10,Falcons,1,"Flex the Falcon",#0075BE,#2B4566,https://upload.wikimedia.org/wikipedia/commons/1/14/Bentley_Wordmark_Stacked.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bentley University",,,,,7.8,58.78
Berea,mens-soccer,"NCAA D3",HCAC,Mountaineers,1,,#005A8B,,https://upload.wikimedia.org/wikipedia/commons/2/20/Berea_college_full_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Berea College",,,,,8.5,37.39
Berry,mens-soccer,"NCAA D3",SAA,Vikings,1,"Victor the Viking",#A2AAAD,,https://upload.wikimedia.org/wikipedia/commons/8/8e/BerryCollegeLogo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,athletics-domain:berryvikings.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""Berry College - Official Athletics Website"").",1,SAA,https://saa-sports.com/news/2025/11/11/two-saa-mens-soccer-teams-heading-to-ncaa-division-iii-tournament.aspx,8.2,42.53
"Bethany (KS)",mens-soccer,NAIA,KCAC,,,,,,,,"No usable Wikipedia infobox found for this name",,,,5.6,48.2
"Bethany (WV)",mens-soccer,"NCAA D3",PAC,Bison,0,"Boomer The Bison",,,https://upload.wikimedia.org/wikipedia/en/c/c9/Bethany_College_WV_logo.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bethany College (West Virginia)",,,,,6.5,35.16
"Bethany Lutheran",mens-soccer,"NCAA D3",UMAC,Vikings,1,Viking,#9b121f,#ffffff,https://upload.wikimedia.org/wikipedia/commons/2/29/Logo_of_Bethany_Lutheran_College_%282024%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,athletics-domain:blcvikings.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""Bethany Lutheran College Athletics - Official Athletics Website"").",,,,6.5,46.21
"Bethel (IN)",mens-soccer,NAIA,CCAC,Pilots,1,,#17489a,,https://upload.wikimedia.org/wikipedia/en/0/0b/Bethel_University_Logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bethel University (Indiana)",,1,CCAC,https://www.crossroadsleague.com,5.6,61.98
"Bethel (MN)",mens-soccer,"NCAA D3",MIAC,Royals,1,"Roy the Lion",#000080,#F0C52D,https://upload.wikimedia.org/wikipedia/commons/7/79/Bethel_univ_minn_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bethel University (Minnesota)",,,,,6.5,47.01
"Bethel (TN)",mens-soccer,NAIA,Mid-South,Wildcats,1,"Rowdy the Wildcat",#2e1846,#f3c300,,"wikipedia:Bethel University (Tennessee)",,1,Mid-South,https://mid-southconference.org/news/bethel-wins-first-ever-mid-south-conference-mens-soccer-tournament,5.6,63.15
"Bethel College (Kansas)",mens-soccer,NAIA,"Kansas Collegiate Athletic Conference",Threshers,1,Thresher,,,,"wikipedia:Bethel College (Kansas)","copied from this school's other-sport row (Bethel College (Kansas)); the article ""Bethel College (Kansas)"" names this institution",,,,,46.53
Bethesda,mens-soccer,NAIA,"NAIA Independent","Lion Angels",1,,,,,"wikipedia:Bethesda University",,,,,4.7,55.36
Binghamton,mens-soccer,"NCAA D1","America East Conference",Bearcats,1,"Baxter the Bearcat",#005A43,,https://upload.wikimedia.org/wikipedia/commons/6/67/Binghamton_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Binghamton University",,,,,8.1,67.82
Biola,mens-soccer,"NCAA D2",PacWest,Eagles,1,,#cc0000,#fff,,"wikipedia:Biola University",,,,,7.2,50.32
Blackburn,mens-soccer,"NCAA D3",SLIAC,Beavers,1,"Barney the Beaver and Buzz the Athletic Beaver",,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Blackburn_college_illinois_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Blackburn College (Illinois)",,,,,6.5,33.05
Blinn,mens-soccer,NJCAA,WJCAC,Buccaneers,1,,,,https://upload.wikimedia.org/wikipedia/en/f/fe/Blinn_College_Horizontal_Logo.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Blinn College",,,,,5.8,36.39
"Blue Mountain",mens-soccer,NJCAA,NWAACC,Toppers,1,Ram,#0c1137,#4a8ac9,,"wikipedia:Blue Mountain Christian University",,,,,5.8,24.5
"Blue Mountain Christian University",mens-soccer,NAIA,"Southern States Athletic Conference",Toppers,1,Ram,#0c1137,#4a8ac9,,"wikipedia:Blue Mountain Christian University","copied from this school's other-sport row (Blue Mountain Christian University); the article ""Blue Mountain Christian University"" names this institution",,,,,41.86
"Bluefield University",mens-soccer,NAIA,"Appalachian Athletic Conference",Rams,1,"Victor E. Ram",#003e7e,#e31937,https://upload.wikimedia.org/wikipedia/commons/2/29/Bluefield_univ_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bluefield University","copied from this school's other-sport row (Bluefield University); the article ""Bluefield University"" names this institution",,,,,38.22
Bluffton,mens-soccer,"NCAA D3",HCAC,Beavers,1,"J. Denny and Jenny Beaver",,,https://upload.wikimedia.org/wikipedia/en/9/97/Bluffton_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bluffton University",,,,,6.5,43.11
"Bob Jones",mens-soccer,"NCAA D3",ASC,"The Bruins",1,"Brody the Bruin",#01a9e1,#0c2340,https://upload.wikimedia.org/wikipedia/en/8/87/Bob_Jones_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bob Jones University",,,,,6.5,46.93
"Bossier Parish",mens-soccer,NJCAA,MSJC,,,Cavalier,,,,"wikipedia:Bossier Parish Community College",,,,,5.8,
"Boston College",mens-soccer,"NCAA D1","Atlantic Coast Conference",Eagles,1,"Baldwin the Eagle",#8A100B,#b29d6c,https://upload.wikimedia.org/wikipedia/commons/2/21/Boston_College_Logotype.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Boston College",,,,,9.2,79.92
"Boston University",mens-soccer,"NCAA D1","Patriot League",Terriers,1,"Rhett the Boston Terrier",#CC0000,,https://upload.wikimedia.org/wikipedia/commons/3/31/Boston_University_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Boston University",,,,,9.3,77.4
Bowdoin,mens-soccer,"NCAA D3",NESCAC,"Polar Bears",1,"Peary the Polar Bear",,,https://upload.wikimedia.org/wikipedia/commons/0/09/Bowdoin_college_blacklogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bowdoin College",,,,,10.0,51.41
"Bowling Green",mens-soccer,"NCAA D1","Missouri Valley Conference",Falcons,1,"Freddie and Frieda Falcon",#FD5000,#4F2C1D,https://upload.wikimedia.org/wikipedia/commons/3/3f/Bowling_Green_State_University_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bowling Green State University",,,,,5.8,76.9
Bradley,mens-soccer,"NCAA D1","Missouri Valley Conference",Braves,1,"""Kaboom!"" the gargoyle",#A50000,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/f/f2/Bradley_University_logo_rgb_Left.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bradley University",,,,,6.2,64.71
Brandeis,mens-soccer,"NCAA D3",UAA,Judges,1,"The Judge and Ollie the Owl (named for Justice Oliver Wendell Holmes Jr.)",#003478,,https://upload.wikimedia.org/wikipedia/commons/a/a6/Brandeis-University-Word-Mark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Brandeis University",,,,,9.5,46.47
"Brescia University",mens-soccer,NAIA,"River States Conference",Bearcats,1,Bearcat,#0069aa,#f0cc01,,"wikipedia:Brescia University","copied from this school's other-sport row (Brescia University); the article ""Brescia University"" names this institution",,,,,39.12
Brevard,mens-soccer,"NCAA D3",SAA,Tornados,1,Tornado,#003b75,,https://upload.wikimedia.org/wikipedia/en/7/7d/Brevard_College_Logo.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Brevard College",,,,,6.5,41.66
"Briar Cliff University",mens-soccer,NAIA,"Great Plains Athletic Conference",Chargers,1,,#003594,#ffc72c,,"wikipedia:Briar Cliff University","copied from this school's other-sport row (Briar Cliff University); the article ""Briar Cliff University"" names this institution",,,,,53.1
Bridgeport,mens-soccer,"NCAA D2",Northeast-10,"Purple Knights",1,"Purple Knight",#634298,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/c/c1/Bridgeport_univ_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of Bridgeport",,1,CACC,https://caccathletics.org/news/2025/11/16/second-half-comeback-lifts-bridgeport-to-2025-cacc-mens-soccer-championship.aspx,5.4,57.59
"Bridgewater (VA)",mens-soccer,"NCAA D3",ODAC,,,,,,,,"No usable Wikipedia infobox found for this name",,,,6.5,44.3
"Bridgewater State",mens-soccer,"NCAA D3",MASCAC,Bears,1,,,,https://upload.wikimedia.org/wikipedia/en/f/f3/Bridgewater_State_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Bridgewater State University",,1,MASCAC,https://www.mascac.com/sports/msoc/2025-26/releases/25_MSOC_Champ,6.2,46.19
Brookdale,mens-soccer,NJCAA,GNYAC,"Jersey Blues",1,,#1F3D7D,#AC202D,,"wikipedia:Brookdale Community College",,,,,5.8,28.01
