name,sport,division,conference,nickname,nickname_plural,mascot,primary_color,secondary_color,logo_url,identity_source,identity_notes,conference_champion_2025,conference_champion_name,conference_champion_source,academic_rating,soccer_score
"Rochester Christian University",mens-soccer,NAIA,"Wolverine-Hoosier Athletic Conference",Warriors,1,,#ce202f,,,"wikipedia:Rochester Christian University","copied from this school's other-sport row (Rochester Christian University); the article ""Rochester Christian University"" names this institution",,,,,39.24
"Rochester Institute of Technology",mens-soccer,"NCAA D3","Liberty League",Tigers,1,"RITchie the Tiger",,,https://upload.wikimedia.org/wikipedia/commons/0/06/RIT_2018_logo_short_orange.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Rochester Institute of Technology",,,,,9.0,39.54
"Rock Valley",mens-soccer,NJCAA,GRAC,"Golden Eagles",1,"Arvee the Golden Eagle",#003866,#FFD12F,,"wikipedia:Rock Valley College",,,,,6.0,33.56
Rockhurst,mens-soccer,"NCAA D2",MIAA,Hawks,1,Hawk,#0055AF,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/e/ed/Rockhurst_University_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Rockhurst University",,,,,6.8,57.74
"Rockland Community",mens-soccer,NJCAA,GNYAC,"Fighting Hawks",1,"Rocky the Hawk",,,https://upload.wikimedia.org/wikipedia/en/4/47/Rockland_Community_College_Logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Rockland Community College",,,,,6.0,22.87
"Rocky Mountain",mens-soccer,NAIA,Frontier,"Battlin' Bears",1,,#00582c,#af9c68,,"wikipedia:Rocky Mountain College",,,,,5.6,50.3
"Roger Williams",mens-soccer,"NCAA D3",CCC,Hawks,1,,,,https://upload.wikimedia.org/wikipedia/commons/4/4c/Roger_Williams_University_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Roger Williams University",,1,CCC,https://cnesports.org/news/2025/11/9/mens-soccer-hawks-take-home-cne-championship-defeat-suffolk-on-pks.aspx,6.5,46.49
"Rogers State",mens-soccer,"NCAA D2",Heartland,Hillcats,1,"Hunter the Hillcat",,,https://upload.wikimedia.org/wikipedia/en/5/5f/Rogers_State_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Rogers State University",,,,,5.3,62.27
Rollins,mens-soccer,"NCAA D2","Sunshine State",Tars,1,"Tommy Tar",#0071BA,#FACF00,,"wikipedia:Rollins College",,,,,8.2,62.53
Roosevelt,mens-soccer,"NCAA D2",CCAC,Lakers,1,"Fala the Laker",#00843d,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Roosevelt_University_Logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Roosevelt University",,,,,5.4,61.66
"Rose State",mens-soccer,NJCAA,SACC,Raiders,1,Raider,,,,athletics-domain:rscraiders.com,"nickname recovered from the school's own athletics hostname; its Wikipedia article states none. Confirmed by that site's title (""Rose State College Athletics - Official Athletics Website"").",,,,6.5,29.44
Rose-Hulman,mens-soccer,"NCAA D3",HCAC,"Fightin' Engineers",1,"Rosie the Elephant",#800000,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/3/35/Rose%E2%80%93Hulman_Institute_of_Technology_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Rose–Hulman Institute of Technology",,,,,9.5,51.37
Rowan,mens-soccer,"NCAA D3",NJAC,Profs,1,"Whoo RU the Prof",#57150B,#FFCC00,https://upload.wikimedia.org/wikipedia/en/c/c4/Rowan_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Rowan University",,,,,6.5,47.6
Rutgers,mens-soccer,"NCAA D1","Big Ten Conference","Scarlet Knights",1,"Sir Henry, the Scarlet Knight",#CC0033,,,"wikipedia:Rutgers University",,,,,8.3,85.3
Rutgers-Camden,mens-soccer,"NCAA D3",NJAC,,,"Scarlet Raptors",#CC0033,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Rutgers_camden_univ_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Rutgers University–Camden",,,,,6.2,40.37
Rutgers-Newark,mens-soccer,"NCAA D3",NJAC,"Scarlet Raiders",1,"Scarlett Raider the Fox",#CC0033,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Rutgers_newark_univ_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Rutgers University–Newark",,,,,6.2,42.08
SCAD,mens-soccer,"NCAA D3",ASC,Bees,1,"Art the Bee",,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Scad_college_art_design_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Savannah College of Art and Design",,,,,6.5,41.24
SIUE,mens-soccer,"NCAA D1","Ohio Valley Conference",Cougars,1,"Eddie the Cougar #57",#CC0000,#FFFFFF,,"wikipedia:Southern Illinois University Edwardsville",,,,,5.2,73.28
SMU,mens-soccer,"NCAA D1","Atlantic Coast Conference",Mustangs,1,Peruna,#CC0035,#354CA1,https://upload.wikimedia.org/wikipedia/en/6/6d/Southern_Methodist_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Southern Methodist University",,1,ACC,"wikipedia:2025 NCAA Division I men's soccer tournament",8.5,100.0
"SUNY Cortland",mens-soccer,"NCAA D3",SUNYAC,"Red Dragons",1,Blaze,,,https://upload.wikimedia.org/wikipedia/commons/6/6a/SUNY_Cortland_Logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:State University of New York at Cortland",,,,,6.2,50.21
"SUNY Geneseo",mens-soccer,"NCAA D3",SUNYAC,Knights,1,"Victor E. Knight",#003087,#9ea2a2,https://upload.wikimedia.org/wikipedia/en/a/a6/SUNY_Geneseo_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:State University of New York at Geneseo",,1,"Empire 8",https://empire8.com/news/2025/11/6/no-1-suny-geneseo-and-no-2-seed-suny-brockport-to-meet-in-2025-empire-8-mens-soccer-championship-match.aspx,8.5,44.78
"SUNY New Paltz",mens-soccer,"NCAA D3",SUNYAC,Hawks,1,"Hugo the Hawk",,,https://upload.wikimedia.org/wikipedia/commons/a/af/SUNY_New_Paltz_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:State University of New York at New Paltz",,,,,6.2,44.98
"SUNY Old Westbury",mens-soccer,"NCAA D3",Skyline,Panthers,1,"OWWIN the Panther",#00693E,#FFFFF0,https://upload.wikimedia.org/wikipedia/en/2/2f/SUNY_Old_Westbury_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:State University of New York at Old Westbury",,,,,6.2,36.12
"SUNY Oneonta",mens-soccer,"NCAA D3",SUNYAC,"Red Dragons",1,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Suny_oneota_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:State University of New York at Oneonta",,1,SUNYAC,https://www.sunyacsports.com/sports/msoc/2025-26/releases/20251107e8snt6,6.2,48.57
"SUNY Oswego",mens-soccer,"NCAA D3",SUNYAC,Lakers,1,,#355E3B,#FFCC33,https://upload.wikimedia.org/wikipedia/en/1/10/SUNY_Oswego_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:State University of New York at Oswego",,,,,6.2,35.21
"SUNY Potsdam",mens-soccer,"NCAA D3",SUNYAC,Bears,1,"Max C. Bear",#8A1538,#A2AAAD,https://upload.wikimedia.org/wikipedia/en/d/d3/SUNY_Potsdam_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:State University of New York at Potsdam",,,,,6.2,35.8
"Sacramento State",mens-soccer,"NCAA D1","Big West Conference",Hornets,1,"Herky the Hornet",,,https://upload.wikimedia.org/wikipedia/commons/c/cc/California_State_University%2C_Sacramento_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:California State University, Sacramento",,,,,5.8,65.4
"Sacred Heart",mens-soccer,"NCAA D1","Metro Atlantic Athletic Conference",Pioneers,1,"""Big Red"" the Pioneer",#DC143C,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/7/7c/Sacred_Heart_University_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Sacred Heart University",,,,,5.8,76.46
"Saginaw Valley State",mens-soccer,"NCAA D2",GLIAC,Cardinals,1,,#003663,#990000,https://upload.wikimedia.org/wikipedia/commons/e/e2/Saginaw_Valley_State_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saginaw Valley State University",,,,,5.3,63.86
"Saint Ambrose",mens-soccer,NAIA,CCAC,"Fighting Bees",1,,#00529b,,,"wikipedia:St. Ambrose University",,,,,6.8,45.13
"Saint Anselm",mens-soccer,"NCAA D2",Northeast-10,Hawks,1,,#143E5F,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Saint_Anselm_College_wordmark.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Anselm College",,,,,7.0,50.45
"Saint Francis (IL)",mens-soccer,NAIA,CCAC,"Fighting Saints",1,"Bernie the St. Bernard",#503412,#ffd400,,"wikipedia:University of St. Francis",,,,,5.6,43.59
"Saint Francis (PA)",mens-soccer,"NCAA D1",NEC,"Red Wolves",1,,#990000,#FFFFFF,,"wikipedia:Saint Francis University",,,,,4.8,71.02
"Saint John Fisher",mens-soccer,"NCAA D3","Empire 8",Cardinals,1,"Beaks The Cardinal",,,https://upload.wikimedia.org/wikipedia/commons/3/3d/Fisger_univ_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:St. John Fisher University",,,,,6.5,41.57
"Saint Joseph's",mens-soccer,"NCAA D1","Atlantic 10 Conference",Hawks,1,"The Hawk",#9E1b32,#6C6F70,https://upload.wikimedia.org/wikipedia/en/5/54/Saint_Joseph%27s_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Joseph's University",,,,,7.2,66.87
"Saint Joseph's (ME)",mens-soccer,"NCAA D3",NAC,Monks,1,,,,https://upload.wikimedia.org/wikipedia/en/f/fc/Saint_Joseph%27s_College_of_Maine_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Joseph's College of Maine",,,,,6.5,43.53
"Saint Lawrence",mens-soccer,"NCAA D3","Liberty League",Saints,1,,,,https://upload.wikimedia.org/wikipedia/commons/1/1e/St_lawrence_univ_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:St. Lawrence University",,,,,8.8,45.4
