slug,city,state,rank,category,accept,sat_25,sat_75,act_25,grad_rate_4yr,retention,student_faculty_ratio,founded,undergrads
georgia-southwestern-state-university-1573,Americus,GA,96,Regional Universities South,75,890,1110,,25,59,17,1906,3028
georgia-southern-university-1572,Statesboro,GA,343,National Universities,88,970,1150,,36,75,25,1906,23618
georgia-state-university-1574,Atlanta,GA,198,National Universities,55,940,1200,,33,78,25,1913,27438
georgian-court-2608,Lakewood,NJ,110,Regional Universities North,79,,,,39,74,12,1908,1491
glenville-state-university-3813,Glenville,WV,59,Regional Colleges South,,,,,28,65,15,1872,1583
gettysburg-college-3268,Gettysburg,PA,58,National Liberal Arts Colleges,39,1270,1460,,75,90,10,1832,2098
goldeybeacom-college-1429,Wilmington,DE,128,Regional Universities North,85,,,,49,76,18,1886,697
gonzaga-university-3778,Spokane,WA,102,National Universities,82,1190,1380,,74,93,12,1887,5281
goucher-college-2073,Baltimore,MD,126,National Liberal Arts Colleges,78,,,27,46,78,9,1885,981
gordon-college-2153,Wenham,MA,156,National Liberal Arts Colleges,86,1130,1355,,52,83,10,1889,1314
grand-canyon-university-1074,Phoenix,AZ,395-434,National Universities,79,,,20,37,70,21,1949,70929
grace-christian-university-2265,Grand Rapids,MI,53,Regional Colleges Midwest,99,,,,23,69,15,1939,891
greensboro-college-2930,Greensboro,NC,99,Regional Universities South,70,,,,40,64,12,1838,899
grand-valley-state-university-2268,Allendale,MI,242,National Universities,83,940,1190,,45,79,15,1960,19002
greenville-university-1684,Greenville,IL,105,Regional Universities Midwest,97,,,16,46,72,12,1892,905
grinnell-college-1868,Grinnell,IA,13,National Liberal Arts Colleges,10,1410,1540,,75,93,9,1846,1788
grambling-state-university-2006,Grambling,LA,103,Regional Universities South,45,,,15,9,72,25,1901,4279
grove-city-college-3269,Grove City,PA,5,Regional Colleges North,69,1150,1350,,78,88,13,1876,2341
gustavus-college-2353,St. Peter,MN,70,National Liberal Arts Colleges,61,,,24,63,85,11,1862,1952
hamilton-college-2728,Clinton,NY,13,National Liberal Arts Colleges,14,1450,1550,,80,95,9,1812,2037
guilford-college-2931,Greensboro,NC,172,National Liberal Arts Colleges,80,,,18,37,63,12,1837,1160
gwynedd-mercy-university-3270,Gwynedd Valley,PA,273,National Universities,90,1023,1186,,46,78,12,1948,1301
hamline-university-2354,St. Paul,MN,22,Regional Universities Midwest,88,1133,1391,,48,74,13,1854,1806
harding-university-10311,Searcy,AR,301,National Universities,71,1050,1290,,55,85,16,1924,3535
hampden-sydney-3713,Hampden-Sydney,VA,107,National Liberal Arts Colleges,41,1030,1250,,55,85,9,1775,946
hanover-college-1801,Hanover,IN,115,National Liberal Arts Colleges,72,1110,1280,,63,81,12,1827,1035
hardinsimmons-university-3571,Abilene,TX,395-434,National Universities,87,1010,1190,,37,64,15,1891,1291
hartwick-college-2729,Oneonta,NY,151,National Liberal Arts Colleges,69,1070,1290,,42,69,9,1797,1097
harvard-university-2155,Cambridge,MA,3,National Universities,4,1510,1580,,56,98,7,1636,7038
harvey-mudd-college-1171,Claremont,CA,10,National Liberal Arts Colleges,13,1500,1570,,81,97,8,1955,921
hampton-university-3714,Hampton,VA,273,National Universities,62,846,1125,,44,82,15,1868,3728
haverford-college-3274,Haverford,PA,24,National Liberal Arts Colleges,12,1460,1550,,76,95,9,1833,1431
hawaii-pacific-university-7279,Honolulu,HI,86,Regional Universities West,86,,,19,26,59,15,1965,3533
heidelberg-university-3048,Tiffin,OH,71,Regional Universities Midwest,86,850,1210,,45,74,16,1850,969
hendrix-college-1099,Conway,AR,96,National Liberal Arts Colleges,47,1122,1348,,63,79,11,1876,1100
high-point-university-2933,High Point,NC,1,Regional Colleges South,75,1110,1320,,67,84,18,1924,5135
hilbert-college-2735,Hamburg,NY,31,Regional Colleges North,97,,,,42,64,15,,939
hiram-college-3049,Hiram,OH,10,Regional Colleges Midwest,92,,,,49,69,11,1850,1026
hobart-and-william-smith-colleges-2731,Geneva,NY,73,National Liberal Arts Colleges,64,1190,1380,,70,88,11,1822,1794
hofstra-university-2732,Hempstead,NY,183,National Universities,68,1230,1400,,61,83,13,1935,6581
holy-family-university-3275,Philadelphia,PA,98,Regional Universities North,71,910,1150,,42,80,14,1954,2650
hollins-university-3715,Roanoke,VA,135,National Liberal Arts Colleges,68,1106,1358,,57,73,8,1842,665
hood-college-2076,Frederick,MD,55,Regional Universities North,78,,,,44,73,10,1893,1198
hope-college-2273,Holland,MI,84,National Liberal Arts Colleges,79,1100,1340,,71,89,11,1866,3391
houghton-university-2734,Houghton,NY,146,National Liberal Arts Colleges,89,1170,1375,,55,79,12,1883,939
houston-christian-university-3576,Houston,TX,61,Regional Universities West,81,990,1190,,38,69,16,1960,2899
husson-university-2043,Bangor,ME,329,National Universities,83,,,,44,77,15,1898,2762
howard-payne-university-3575,Brownwood,TX,21,Regional Colleges West,67,880,1160,,25,53,10,1889,751
huntingdon-college-1019,Montgomery,AL,8,Regional Colleges South,68,,,20,48,68,15,1854,880
idaho-state-university-1620,Pocatello,ID,395-434,National Universities,,,,,24,71,13,,10406
illinois-college-1688,Jacksonville,IL,111,National Liberal Arts Colleges,78,880,1180,,57,73,12,1829,937
illinois-institute-of-technology-1691,Chicago,IL,117,National Universities,55,1180,1400,,46,86,17,1890,3135
howard-university-1448,Washington,DC,88,National Universities,41,1130,1330,,60,90,13,1867,11519
immaculata-university-3276,Immaculata,PA,301,National Universities,86,1156,1323,,55,82,11,1920,1652
indiana-state-university-9563,Terre Haute,IN,363,National Universities,92,880,1110,,33,65,16,1865,6224
illinois-wesleyan-university-1696,Bloomington,IL,2,Regional Colleges Midwest,39,1120,1340,,66,83,12,1850,1582
iowa-state-university-1869,Ames,IA,117,National Universities,89,1120,1360,,57,88,18,1858,25628
ithaca-college-2739,Ithaca,NY,13,Regional Universities North,69,1230,1390,,66,84,11,1892,4268
iona-university-2737,New Rochelle,NY,61,Regional Universities North,87,1110,1300,,50,77,16,1940,3382
indiana-university-bloomington-1809,Bloomington,IN,73,National Universities,78,1170,1400,,69,91,18,1820,38093
illinois-state-university-1692,Normal,IL,222,National Universities,88,990,1210,,49,81,20,1857,19107
iup-3277,Indiana,PA,329,National Universities,91,970,1180,,39,72,17,1875,7353
jackson-state-university-2410,Jackson,MS,363,National Universities,93,820,1100,,19,71,12,1877,4650
jacksonville-state-university-1020,Jacksonville,AL,52,Regional Universities South,78,,,17,36,66,19,1883,8663
iupui-1813,Indianapolis,IN,192,National Universities,76,1030,1240,,39,71,13,1969,14504
jacksonville-university-1495,Jacksonville,FL,37,Regional Universities South,57,1100,1280,,40,71,12,1934,2946
james-madison-university-3721,Harrisonburg,VA,151,National Universities,72,1170,1340,,66,91,17,1908,21112
jamestown-college-2990,Jamestown,ND,124,Regional Universities Midwest,88,,,,37,68,13,1883,1049
jessup-university-1281,Rocklin,CA,77,Regional Universities West,67,1041,1228,,44,69,14,1939,1317
jhu-2077,Baltimore,MD,7,National Universities,6,1520,1570,,87,97,6,1876,6356
john-carroll-university-3050,University Heights,OH,2,Regional Universities Midwest,81,1180,1330,,72,85,13,1886,2339
johnson--wales-university-charlotte-108847,Charlotte,NC,33,Regional Colleges South,80,880,1130,,26,66,14,,1184
johnson--wales-university-providence-3404,Providence,RI,84,Regional Universities North,88,890,1160,,39,76,14,1914,3908
juniata-college-3279,Huntingdon,PA,92,National Liberal Arts Colleges,79,1070,1300,,70,81,11,1876,1242
kalamazoo-college-2275,Kalamazoo,MI,67,National Liberal Arts Colleges,75,1175,1380,,68,85,10,1833,1166
kansas-state-university-1928,Manhattan,KS,158,National Universities,82,1060,1260,,49,86,19,1863,15650
kean-university-2622,Union,NJ,318,National Universities,76,930,1150,,25,74,17,1855,11758
keene-state-college-2590,Keene,NH,9,Regional Colleges North,90,910,1130,,51,77,17,1909,2744
kentucky-wesleyan-college-1969,Owensboro,KY,21,Regional Colleges South,66,,,16,38,58,15,1858,862
kent-state-university-3051,Kent,OH,232,National Universities,86,1100,1280,,49,80,20,1910,20841
kennesaw-state-university-1577,Kennesaw,GA,373,National Universities,69,1000,1220,,24,76,23,1963,42840
kenyon-college-3065,Gambier,OH,45,National Liberal Arts Colleges,31,1358,1503,,67,91,9,1824,2249
keuka-college-2744,Keuka Park,NY,128,Regional Universities North,68,,,,52,68,10,1890,966
keystone-college-3280,La Plume,PA,51-56,Regional Colleges North,85,940,1030,,28,62,12,1868,894
kings-college-pennsylvania-3282,Wilkes-Barre,PA,112,Regional Universities North,93,1070,1270,,53,75,11,1946,1568
king-university-3496,Bristol,TN,76,Regional Universities South,100,,,,42,66,12,1867,1076
knox-college-1704,Galesburg,IL,76,National Liberal Arts Colleges,71,1180,1440,,50,82,11,1837,1136
kutztown-university-3322,Kutztown,PA,112,Regional Universities North,91,,,22,41,78,18,1866,6306
la-salle-university-3287,Philadelphia,PA,257,National Universities,97,940,1320,,57,70,11,1863,2077
lafayette-college-3284,Easton,PA,30,National Liberal Arts Colleges,31,1350,1500,,80,91,10,1826,2775
la-roche-university-3987,Pittsburgh,PA,116,Regional Universities North,81,940,1200,,46,70,8,1963,1828
lake-erie-college-3066,Painesville,OH,145-160,Regional Universities Midwest,70,,,,32,65,12,1856,744
lakeland-university-3854,Plymouth,WI,112,Regional Universities Midwest,86,,,,50,67,13,1862,2318
lamar-university-3581,Beaumont,TX,395-434,National Universities,86,930,1140,,18,60,28,1923,8218
lagrange-college-1578,LaGrange,GA,9,Regional Colleges South,62,,,,37,62,13,1831,651
lake-forest-college-1706,Lake Forest,IL,75,National Liberal Arts Colleges,57,1190,1393,,70,87,13,1857,1814
lancaster-bible-college-3285,Lancaster,PA,146,Regional Universities North,56,,,,65,79,18,1933,1778
lander-university-3435,Greenwood,SC,12,Regional Colleges South,81,950,1178,,36,68,19,1872,3780
lasell-university-2158,Newton,MA,116,Regional Universities North,93,1048,1218,,54,73,13,1851,1293
lawrence-university-3856,Appleton,WI,65,National Liberal Arts Colleges,64,1200,1420,,58,88,7,1847,1417
le-moyne-college-2748,SYRACUSE,NY,13,Regional Universities North,74,1160,1330,,65,84,12,1946,2529
lebanon-valley-college-3288,Annville,PA,76,Regional Universities North,84,1140,1303,,58,82,9,1866,1720
lees-mcrae-college-2939,Banner Elk,NC,12,Regional Colleges South,77,,,,37,69,11,1900,873
lehman-college-7022,Bronx,NY,33,Regional Universities North,57,850,1220,,53,73,17,1968,12644
lee-university-3500,Cleveland,TN,31,Regional Universities South,71,1040,1230,,51,81,13,1918,3271
lehigh-university-3289,Bethlehem,PA,46,National Universities,26,1370,1500,,80,93,10,1865,5911
lenoir-rhyne-university-2941,Hickory,NC,45,Regional Universities South,85,,,,35,70,14,1891,1472
lesley-university-2160,Cambridge,MA,301,National Universities,97,,,,44,75,10,1909,1342
letourneau-university-3584,Longview,TX,36,Regional Universities West,38,990,1330,,49,79,13,1946,3184
lewis--clark-college-3197,Portland,OR,96,National Liberal Arts Colleges,78,,,,63,85,12,1867,2139
lewis-university-1707,Romeoville,IL,29,Regional Universities Midwest,71,960,1210,,42,80,13,1932,4326
liberty-university-10392,Lynchburg,VA,395-434,National Universities,99,1060,1340,,55,79,18,1971,52961
lindenwood-university-2480,Saint Charles,MO,124,Regional Universities Midwest,57,,,22,38,74,14,1832,4663
lincoln-memorial-university-3502,Harrogate,TN,343,National Universities,63,,,18,39,72,9,1897,1605
lincoln-university-2479,Jefferson City,MO,51,Regional Colleges Midwest,,,,,10,50,13,1866,1707
lincoln-university-3290,Lincoln University,PA,116,Regional Universities North,66,820,960,,30,74,12,1854,1545
long-island-university-667002,Brookville,NY,373,National Universities,86,,,21,44,79,13,1926,11753
loras-college-1873,Dubuque,IA,8,Regional Colleges Midwest,100,,,,44,80,12,1839,1169
lipscomb-3486,Nashville,TN,222,National Universities,68,1160,1380,,63,85,13,1891,3006
longwood-university-3719,Farmville,VA,16,Regional Universities South,90,1030,1210,,47,77,14,1839,3314
linfield-university-3198,McMinnville,OR,111,National Liberal Arts Colleges,85,,,,55,80,12,1858,1641
louisiana-state-university-and-agricultural--mechanical-college-2010,Baton Rouge,LA,169,National Universities,73,1180,1340,,50,84,21,1860,34242
louisiana-tech-university-2008,Ruston,LA,318,National Universities,91,1100,1310,,44,82,22,1894,11058
loyola-university-maryland-2078,Baltimore,MD,7,Regional Universities North,75,1200,1370,,73,87,12,1852,3881
loyola-university-chicago-1710,Chicago,IL,132,National Universities,82,1170,1360,,67,84,13,1870,12538
loyola-marymount-university-11649,Los Angeles,CA,102,National Universities,45,1260,1430,,68,89,10,1911,7273
lubbock-christian-university-3586,Lubbock,TX,77,Regional Universities West,73,,,19,30,72,12,1957,1320
luther-college-1874,Decorah,IA,111,National Liberal Arts Colleges,84,1078,1406,,62,80,9,1861,1384
lynn-university-1505,Boca Raton,FL,57,Regional Universities South,73,1038,1200,,44,75,16,1962,2861
lyon-college-1088,Batesville,AR,167,National Liberal Arts Colleges,63,,,,39,65,11,1872,664
lycoming-college-3293,Williamsport,PA,96,National Liberal Arts Colleges,74,1080,1298,,52,76,10,1812,1019
macalester-college-2358,St. Paul,MN,28,National Liberal Arts Colleges,29,1390,1520,,74,94,10,1874,2138
malone-university-3072,Canton,OH,101,Regional Universities Midwest,76,,,18,41,72,12,1892,987
manchester-university-1820,North Manchester,IN,84,Regional Universities Midwest,71,,,,37,66,13,1889,915
manhattan-university-2758,Riverdale,NY,28,Regional Universities North,79,1180,1358,,50,76,15,1853,2746
maine-maritime-academy-2044,Castine,ME,7,Regional Colleges North,56,1095,1260,,39,83,10,1941,945
manhattanville-university-2760,Purchase,NY,84,Regional Universities North,87,,,,51,75,10,1841,1466
maranatha-baptist-university-23172,Watertown,WI,120,Regional Universities Midwest,72,930,1230,,50,79,10,1968,735
marian-university-3861,Fond du Lac,WI,110,Regional Universities Midwest,75,,,,30,64,12,1936,1074
marist-university-2765,Poughkeepsie,NY,9,Regional Universities North,57,1190,1340,,70,87,15,1929,5551
marietta-college-3073,Marietta,OH,15,Regional Colleges Midwest,79,1040,1200,,62,68,10,1835,1023
martin-luther-college-2361,New Ulm,MN,,,87,,,,46,,,1995,743
mars-hill-college-2944,Mars Hill,NC,27,Regional Colleges South,68,,,,35,66,10,1856,1002
mary-baldwin-university-3723,Staunton,VA,384,National Universities,80,,,,27,63,15,1842,1125
marshall-university-3815,Huntington,WV,318,National Universities,96,910,1150,,32,74,16,1837,9146
marquette-university-3863,Milwaukee,WI,88,National Universities,81,1200,1360,,69,90,14,1881,8045
marymount-university-3724,Arlington,VA,273,National Universities,93,,,,42,76,11,1950,2503
marywood-university-3296,Scranton,PA,61,Regional Universities North,61,1070,1250,,49,82,12,1915,1834
maryville-college-3505,Maryville,TN,170,National Liberal Arts Colleges,61,,,,39,69,12,1819,1132
massachusetts-institute-of-technology-2178,Cambridge,MA,2,National Universities,5,1520,1580,,83,99,3,1861,4535
maryville-saint-louis-2482,St Louis,MO,283,National Universities,95,,,,55,83,,1872,5692
massachusetts-maritime-academy-2181,Buzzards Bay,MA,11,Regional Universities North,72,,,,,82,13,1891,1407
mcla-2187,North Adams,MA,115,National Liberal Arts Colleges,90,,,,46,68,8,1894,794
mckendree-university-1722,Lebanon,IL,101,Regional Universities Midwest,74,830,1270,,42,71,17,1828,1757
mcdaniel-college-2109,Westminster,MD,72,Regional Universities North,78,,,,56,76,13,1867,1631
mcmurry-university-3591,Abilene,TX,15,Regional Colleges West,57,950,1160,,32,65,16,1923,3167
mcneese-state-university-2017,Lake Charles,LA,81,Regional Universities South,78,940,1198,,27,69,20,1939,5720
medgar-evers-college-cuny-10097,Brooklyn,NY,176,National Liberal Arts Colleges,86,,,,10,45,14,1970,3233
menlo-college-1236,Atherton,CA,,,68,,,,31,,,1927,831
mercer-university-1580,Macon,GA,169,National Universities,69,1160,1350,,61,84,11,1833,4690
mercy-university-2772,Dobbs Ferry,NY,116,Regional Universities North,86,,,,32,74,16,1950,6775
mercyhurst-college-3297,Erie,PA,66,Regional Universities North,81,1080,1280,,59,79,14,1926,2274
meredith-college-2945,Raleigh,NC,115,National Liberal Arts Colleges,74,1098,1348,,58,80,9,1891,1206
merrimack-college-2120,North Andover,MA,38,Regional Universities North,70,1070,1240,,63,82,13,1947,4102
methodist-university-2946,Fayetteville,NC,90,Regional Universities South,75,1080,1250,,29,64,11,1956,1467
messiah-university-3298,Mechanicsburg,PA,45,Regional Universities North,79,1110,1350,,70,86,12,1909,2618
middle-georgia-state-university-7728,Macon,GA,112,Regional Universities South,100,950,1190,,12,61,18,2013,7737
metropolitan-state-university-of-denver-1360,Denver,CO,86,Regional Universities West,99,,,17,13,65,14,1963,16430
miami-university-7104,Oxford,OH,143,National Universities,75,1220,1390,,70,90,16,1809,16816
michigan-state-2290,East Lansing,MI,64,National Universities,85,1180,1360,,63,91,17,1855,41234
michigan-tech-2292,Houghton,MI,158,National Universities,84,1130,1350,,39,87,13,1885,6022
middle-tennessee-state-university-3510,Murfreesboro,TN,257,National Universities,69,1010,1230,,36,77,17,1911,18042
middlebury-college-3691,Middlebury,VT,13,National Liberal Arts Colleges,11,1445,1550,,66,94,9,1800,2760
midwestern-state-3592,Wichita Falls,TX,77,Regional Universities West,93,930,1140,,25,65,17,1922,4303
millikin-university-1724,Decatur,IL,15,Regional Colleges Midwest,67,860,1130,,47,72,10,1901,1496
millersville-university-of-pennsylvania-3325,Millersville,PA,98,Regional Universities North,86,1020,1210,,39,77,17,1855,5823
millsaps-college-2414,Jackson,MS,146,National Liberal Arts Colleges,43,1025,1150,,57,72,8,1890,549
minnesota-state-university-moorhead-2367,Moorhead,MN,49,Regional Universities Midwest,59,,,18,36,71,17,1887,3413
minot-state-2994,Minot,ND,112,Regional Universities Midwest,65,930,1140,,29,71,12,1913,2499
minnesota-state-university-mankato-2360,Mankato,MN,54,Regional Universities Midwest,88,,,18,31,78,22,1868,13395
milwaukee-school-of-engineering-3868,Milwaukee,WI,2,Regional Universities Midwest,62,1160,1360,,47,82,12,1903,2704
misericordia-university-3247,Dallas,PA,273,National Universities,71,928,1228,,63,81,11,1924,1721
mississippi-college-2415,Clinton,MS,358,National Universities,29,,,19,54,78,14,1826,2706
mississippi-women-2422,Columbus,MS,33,Regional Universities South,90,,,17,33,72,10,1884,1962
missouri-southern-state-university-2488,Joplin,MO,138,Regional Universities Midwest,97,1150,1420,,25,64,15,1937,3881
mississippi-state-university-2423,Mississippi State,MS,208,National Universities,78,1100,1350,,46,82,16,1878,18567
mitchell-college-1393,New London,CT,34,Regional Colleges North,95,,,,39,62,14,,500
molloy-university-2775,Rockville Centre,NY,66,Regional Universities North,82,1088,1290,,47,84,12,1955,3240
missouri-western-state-university-2490,St Joseph,MO,133,Regional Universities Midwest,100,,,16,23,59,16,1915,3494
missouri-university-of-science-and-technology-2517,Rolla,MO,192,National Universities,73,1190,1420,,48,86,17,1870,5552
missouri-state-university-2503,Springfield,MO,358,National Universities,91,,,19,42,77,21,1906,19259
monmouth-university-2616,West Long Branch,NJ,13,Regional Universities North,89,1140,1310,,65,81,11,1933,3710
montclair-state-university-2617,Montclair,NJ,158,National Universities,88,910,1210,,46,80,18,1908,18712
monroe-university-4799,Bronx,NY,76,Regional Universities North,68,,,,56,70,17,1933,6206
montana-state-billings-2530,Billings,MT,95,Regional Universities West,100,,,17,17,57,14,1927,3881
monmouth-college-1725,Monmouth,IL,154,National Liberal Arts Colleges,91,1000,1210,,65,74,10,1853,714
moravian-university-3301,Bethlehem,PA,38,Regional Universities North,54,1070,1285,,67,79,10,1742,1992
mount-aloysius-college-3302,Cresson,PA,28,Regional Colleges North,82,,,,,71,7,1853,2942
mount-holyoke-college-2192,South Hadley,MA,29,National Liberal Arts Colleges,36,1380,1530,,84,90,9,1837,2178
mount-st-joseph-university-3033,Cincinnati,OH,343,National Universities,59,930,1140,,46,72,,1920,1545
morehead-state-university-1976,Morehead,KY,27,Regional Universities South,77,1003,1238,,40,68,16,1887,8258
mount-st-mary-college-2778,Newburgh,NY,72,Regional Universities North,89,,,19,48,75,,1959,2141
mount-st-marys-university-2086,Emmitsburg,MD,72,Regional Universities North,74,1046,1280,,62,72,,1808,1833
murray-state-university-1977,Murray,KY,14,Regional Universities South,86,960,1190,,49,76,17,1922,8281
muhlenberg-college-3304,Allentown,PA,70,National Liberal Arts Colleges,72,1250,1410,,67,91,9,1848,1737
muskingum-university-3084,New Concord,OH,46,Regional Universities Midwest,82,910,1105,,40,70,13,1837,1523
nazareth-university-2779,Rochester,NY,50,Regional Universities North,75,1075,1325,,63,82,8,1924,1882
nebraska-wesleyan-university-2555,Lincoln,NE,39,Regional Universities Midwest,80,1020,1290,,58,75,12,1887,1463
neumann-university-3988,Aston,PA,128,Regional Universities North,81,848,1100,,53,71,13,1965,1658
new-england-college-2579,Henniker,NH,150-164,Regional Universities North,92,,,,29,61,12,1946,1032
new-jersey-city-university-2613,Jersey City,NJ,146,Regional Universities North,98,,,,20,70,14,1927,3871
niagara-university-2788,Niagara University,NY,28,Regional Universities North,87,1060,1235,,67,80,10,1856,2692
new-mexico-highlands-university-2653,Las Vegas,NM,97,Regional Universities West,,,,,16,57,10,1893,1710
new-mexico-state-university-2657,Las Cruces,NM,222,National Universities,89,870,1110,,34,73,15,1888,12507
newman-university-1939,Wichita,KS,118,Regional Universities Midwest,74,,,,38,70,13,1933,2398
newberry-college-3440,Newberry,SC,16,Regional Colleges South,75,905,1145,,34,71,15,1856,1481
nicholls-state-university-2005,Thibodaux,LA,64,Regional Universities South,87,940,1180,,30,74,17,1948,5539
north-carolina-wesleyan-university-2951,Rocky Mount,NC,33,Regional Colleges South,80,,,,29,64,12,1956,1262
nichols-college-2197,Dudley,MA,121,Regional Universities North,81,,,,61,73,16,1815,1163
north-carolina-state-raleigh-2972,Raleigh,NC,64,National Universities,42,1300,1470,,68,94,15,1887,28422
njit-2621,Newark,NJ,80,National Universities,65,1240,1480,,51,90,16,1881,10200
north-central-college-1734,Naperville,IL,20,Regional Universities Midwest,77,1055,1310,,55,78,12,1861,2454
north-park-university-1735,Chicago,IL,54,Regional Universities Midwest,69,,,,44,68,12,1891,1841
north-greenville-university-3441,Tigerville,SC,42,Regional Universities South,67,1060,1240,,47,70,13,1892,2020
north-central-university-2369,Minneapolis,MN,19,Regional Colleges Midwest,45,,,,62,78,11,1930,759
north-dakota-state-9265,Fargo,ND,232,National Universities,95,1090,1360,,46,77,17,1890,9762
northeastern-state-university-3161,Tahlequah,OK,69,Regional Universities West,99,,,17,22,62,14,1846,5085
northeastern-university-2199,Boston,MA,46,National Universities,5,1440,1540,,,97,16,1898,17432
northern-kentucky-university-9275,Highland Heights,KY,384,National Universities,83,953,1150,,36,75,17,1968,10163
northern-illinois-university-1737,DeKalb,IL,301,National Universities,70,,,,29,68,15,1895,11349
northern-arizona-university-1082,Flagstaff,AZ,242,National Universities,90,1010,1290,,48,75,19,1899,22991
northern-michigan-university-2301,Marquette,MI,49,Regional Universities Midwest,84,,,,35,75,18,1899,6684
northwest-missouri-2496,Maryville,MO,84,Regional Universities Midwest,86,973,1295,,42,76,18,1905,5241
northwest-nazarene-university-1624,Nampa,ID,56,Regional Universities West,72,,,22,54,76,14,1913,1043
northwestern-college-2371,St. Paul,MN,36,Regional Universities Midwest,93,868,1271,,59,82,,1902,3163
northern-state-university-3466,Aberdeen,SD,61,Regional Universities Midwest,93,980,1160,,28,74,18,1901,3169
northwestern-oklahoma-state-3163,Alva,OK,81,Regional Universities West,65,802,1036,,28,62,15,1897,1787
northwestern-state-university-of-louisiana-2021,Natchitoches,LA,59,Regional Universities South,92,866,1118,,30,66,14,1884,7595
northwestern-university-1739,Evanston,IL,7,National Universities,8,1510,1570,,83,98,6,1851,9060
norwich-university-3692,Northfield,VT,84,Regional Universities North,89,990,1200,,52,75,11,1819,2635
northwood-university-8759,Midland,MI,,,74,963,1150,,50,,,1959,1098
notre-dame-of-maryland-university-2065,Baltimore,MD,50,Regional Universities North,82,1033,1210,,43,72,10,1895,709
oakland-university-2307,Rochester,MI,318,National Universities,88,900,1170,,35,75,17,1957,12587
nyu-2785,New York,NY,32,National Universities,9,1480,1560,,74,95,8,1831,29060
nova-southeastern-university-1509,Fort Lauderdale,FL,257,National Universities,73,1030,1300,,55,77,16,1964,7311
oberlin-college-3086,Oberlin,OH,58,National Liberal Arts Colleges,34,1360,1520,,60,90,9,1833,2896
ohio-dominican-university-3035,Columbus,OH,112,Regional Universities Midwest,94,,,,33,60,12,1911,843
oglethorpe-university-1586,Atlanta,GA,156,National Liberal Arts Colleges,89,1040,1295,,43,76,13,1835,1361
ohio-northern-university-3089,Ada,OH,1,Regional Colleges Midwest,74,1170,1400,,59,85,13,1871,2706
ohio-state-6883,Columbus,OH,41,National Universities,61,1310,1480,,72,94,14,1870,46815
occidental-college-1249,Los Angeles,CA,35,National Liberal Arts Colleges,44,1380,1520,,68,90,9,1887,1881
ohio-university-3100,Athens,OH,198,National Universities,85,1090,1290,,50,82,18,1804,19888
ohio-wesleyan-university-3109,Delaware,OH,121,National Liberal Arts Colleges,56,,,,51,83,12,1842,1525
oklahoma-baptist-university-3164,Shawnee,OK,43,Regional Universities West,49,1070,1240,,43,70,16,1910,1427
oklahoma-christian-3165,Oklahoma City,OK,65,Regional Universities West,97,1010,1270,,44,76,19,1950,2061
oklahoma-state-3170,Stillwater,OK,198,National Universities,75,,,20,53,84,19,1890,22351
old-dominion-3728,Norfolk,VA,293,National Universities,90,1100,1280,,26,75,13,1930,17746
oral-roberts-university-3985,Tulsa,OK,72,Regional Universities West,99,1050,1270,,49,82,17,1963,5017
otterbein-university-3110,Westerville,OH,12,Regional Universities Midwest,85,930,1220,,57,80,12,1847,2211
oregon-state-3210,Corvallis,OR,143,National Universities,77,1140,1400,,47,87,17,1868,31253
ouachita-baptist-university-1102,Arkadelphia,AR,151,National Liberal Arts Colleges,68,1070,1280,,58,82,13,1886,1729
pace-university-2791,New York,NY,273,National Universities,76,1180,1340,,46,75,15,1906,8038
pacific-lutheran-university-3785,Tacoma,WA,28,Regional Universities West,78,1040,1260,,41,80,13,1890,2446
pacific-university-3212,Forest Grove,OR,232,National Universities,90,,,18,55,78,10,1849,1589
olivet-2308,Olivet,MI,44,Regional Colleges Midwest,83,,,,28,59,14,1844,938
palm-beach-atlantic-university-8849,West Palm Beach,FL,384,National Universities,82,950,1220,,46,71,13,1968,3312
penn-college-3395,Williamsport,PA,4,Regional Colleges North,76,,,,42,78,12,1914,4526
pennsylvania-state-university---behrend-3333,Erie,PA,133,Regional Universities North,97,1120,1310,,32,82,13,1948,3276
pennsylvania-state-university-abington-3342,Abington,PA,24,Regional Colleges North,97,1070,1265,,38,77,14,,2884
penn-state-6965,University Park,PA,59,National Universities,61,1240,1420,,72,92,16,1855,42619
pennsylvania-state-university-altoona-253849,,PA,41,Regional Colleges North,98,,,22,14,77,12,,2421
pennsylvania-state-university-harrisburg-6814,Middletown,PA,150-164,Regional Universities North,98,1120,1310,,18,81,15,1966,4047
pennsylvania-state-university-berks-861542,,PA,51-56,Regional Colleges North,99,,,18,16,77,13,,1940
pennsylvania-western-university-664059,California,PA,136,Regional Universities North,94,940,1140,,38,71,18,1852,7586
pepperdine-university-1264,Malibu,CA,84,National Universities,63,1290,1450,,75,89,12,1937,3553
pfeiffer-university-2955,Misenheimer,NC,82,Regional Universities South,96,,,,34,66,14,1885,654
plymouth-state-university-2591,Plymouth,NH,140,Regional Universities North,88,,,,49,68,15,1871,3182
piedmont-university-1588,Demorest,GA,62,Regional Universities South,93,1038,1245,,37,73,12,1897,1159
philadelphia-biblical-3351,Langhorne,PA,140,Regional Universities North,88,,,,31,79,11,1913,855
pitzer-college-1172,Claremont,CA,37,National Liberal Arts Colleges,25,,,,58,93,10,1963,1242
