slug,city,state,rank,category,accept,sat_25,sat_75,act_25,grad_rate_4yr,retention,student_faculty_ratio,founded,undergrads
bluefield-state-university-3809,Bluefield,WV,50,Regional Colleges South,97,,,17,21,58,17,1895,1249
blackburn-college-1639,Carlinville,IL,23,Regional Colleges Midwest,64,880,1020,,43,54,7,1837,384
black-hills-state-3459,Spearfish,SD,143,Regional Universities Midwest,96,,,18,25,68,17,1887,3279
bluffton-university-3016,Bluffton,OH,38,Regional Colleges Midwest,60,1172,1322,,47,67,9,1899,600
bob-jones-university-666997,Greenville,SC,23,Regional Universities South,83,1010,1260,,58,82,14,1927,2267
boise-state-university-1616,Boise,ID,301,National Universities,87,,,,41,78,20,1932,24030
boston-university-2130,Boston,MA,42,National Universities,11,1420,1530,,81,95,10,1839,18805
boston-college-2128,Chestnut Hill,MA,36,National Universities,16,1440,1540,,86,95,10,1863,9654
bowdoin-college-2038,Brunswick,ME,5,National Liberal Arts Colleges,7,1470,1550,,72,97,9,1794,1881
bowling-green-state-university-3018,Bowling Green,OH,293,National Universities,81,1000,1210,,49,79,17,1910,14783
bradley-university-1641,Peoria,IL,183,National Universities,77,,,,59,84,11,1897,3596
brandeis-university-2133,Waltham,MA,69,National Universities,41,1390,1520,,78,90,9,1948,3632
brevard-college-2912,Brevard,NC,30,Regional Colleges South,42,970,1170,,34,66,11,1853,821
bridgewater-college-3704,Bridgewater,VA,167,National Liberal Arts Colleges,92,1020,1360,,45,74,13,1880,1407
bridgewater-state-university-2183,Bridgewater,MA,98,Regional Universities North,88,1060,1263,,32,77,17,1840,8270
brown-university-3401,Providence,RI,13,National Universities,5,1510,1580,,77,99,6,1764,7910
bryn-athyn-3228,Bryn Athyn,PA,180,National Liberal Arts Colleges,83,,,,40,64,8,1877,273
butler-university-1788,Indianapolis,IN,1,Regional Universities Midwest,85,1160,1350,,72,88,11,1855,4489
buena-vista-university-1847,Storm Lake,IA,49,Regional Universities Midwest,72,,,19,54,76,13,1891,1436
bryn-mawr-college-3237,Bryn Mawr,PA,30,National Liberal Arts Colleges,29,1280,1510,,73,90,8,1885,1368
caldwell-university-2598,Caldwell,NJ,84,Regional Universities North,71,1130,1370,,57,74,12,1939,1617
cal-poly-humboldt-1149,Arcata,CA,23,Regional Universities West,92,985,1260,,26,76,17,1913,5474
byu-3670,Provo,UT,110,National Universities,68,1270,1460,,27,90,22,1875,32952
bryant-university-3402,Smithfield,RI,5,Regional Universities North,68,1190,1330,,77,88,13,1863,3200
california-baptist-university-1125,Riverside,CA,33,Regional Universities West,85,,,,44,75,21,1950,8417
california-lutheran-university-1133,Thousand Oaks,CA,16,Regional Universities West,76,1150,1330,,62,81,13,1959,2297
california-polytechnic-state-university-san-luis-obispo-1143,San Luis Obispo,CA,1,Regional Universities West,31,1220,1440,,62,95,18,1901,21947
bucknell-university-3238,Lewisburg,PA,30,National Liberal Arts Colleges,29,1315,1470,,82,93,9,1846,3920
california-institute-of-technology-1131,Pasadena,CA,11,National Universities,3,,,,77,98,3,1891,987
california-state-polytechnic-university-pomona-1144,Pomona,CA,3,Regional Universities West,74,,,,35,88,25,1938,25255
california-state-university-east-bay-1138,Hayward,CA,257,National Universities,97,,,,18,78,17,1957,10562
california-state-university-chico-1146,Chico,CA,16,Regional Universities West,92,953,1285,,36,82,22,1887,13392
california-state-university-fresno-1147,Fresno,CA,183,National Universities,94,,,,28,78,23,1911,21889
california-state-university-long-beach-1139,Long Beach,CA,127,National Universities,46,,,,38,86,26,1949,35843
california-state-university-fullerton-1137,Fullerton,CA,139,National Universities,91,860,1080,,39,85,25,1957,38597
california-state-university-dominguez-hills-1141,Carson,CA,36,Regional Universities West,93,,,,18,69,18,1960,12730
california-state-university-sacramento-1150,Sacramento,CA,22,Regional Universities West,93,,,,28,81,23,1947,28226
california-state-university-san-bernardino-1142,San Bernardino,CA,179,National Universities,93,820,1020,,25,79,22,1962,14993
california-state-university-los-angeles-1140,Los Angeles,CA,13,Regional Universities West,91,,,,25,73,22,1947,19354
california-state-university-san-marcos-30113,San Marcos,CA,23,Regional Universities West,95,,,,28,76,24,1989,14977
california-state-university-northridge-1153,Northridge,CA,20,Regional Universities West,92,,,,28,76,24,,32499
capital-university-3023,Columbus,OH,42,Regional Universities Midwest,70,910,1180,,55,77,9,1830,1609
canisius-university-2681,Buffalo,NY,32,Regional Universities North,72,,,,67,78,11,1870,1724
campbell-university-2913,Buies Creek,NC,343,National Universities,87,1090,1270,,48,75,13,1887,2699
california-state-university-stanislaus-1157,Turlock,CA,9,Regional Universities West,98,,,,25,81,17,1957,8455
calvin-university-2241,Grand Rapids,MI,4,Regional Universities Midwest,71,1083,1330,,64,87,13,1876,3356
carleton-college-2340,Northfield,MN,10,National Liberal Arts Colleges,20,1450,1560,,82,96,9,1866,2128
carlow-university-3303,Pittsburgh,PA,84,Regional Universities North,87,,,,49,81,11,1929,1355
carnegie-mellon-university-3242,Pittsburgh,PA,20,National Universities,12,1500,1570,,81,97,6,1900,7824
carroll-university-3838,Waukesha,WI,32,Regional Universities Midwest,67,1040,1260,,60,78,14,1846,2581
carsonnewman-university-3481,Jefferson City,TN,358,National Universities,90,955,1215,,41,71,12,1851,1606
