school_id,name,division,conference,conf_tier,2022_W,2022_L,2022_D,2023_W,2023_L,2023_D,2024_W,2024_L,2024_D,2025_W,2025_L,2025_D,2022_ps,2023_ps,2024_ps,2025_ps
gardnerwebb,Gardner-Webb,D1,Big South,d1t3,7,5,4,4,9,4,13,4,3,13,3,2,,,r32,
george_mason,George Mason,D1,Atlantic 10,d1t3,2,11,2,5,7,3,13,4,1,7,6,3,,,,
george_washington,George Washington,D1,Atlantic 10,d1t3,8,9,2,4,9,4,3,12,2,2,11,4,,,,
georgetown,Georgetown,D1,Big East,d1t2,12,6,3,13,3,3,11,5,5,14,4,4,r16,r32,appearance,r16
georgia_southern,Georgia Southern,D1,Sun Belt,d1t3,1,14,1,2,9,6,6,7,4,13,4,1,,,,
georgia_state,Georgia State,D1,Sun Belt,d1t3,12,4,3,6,7,5,4,8,5,4,8,6,,,,
gonzaga,Gonzaga,D1,Pac-12,d1t3,4,11,3,3,9,6,6,10,2,5,8,3,,,,
grand_canyon,Grand Canyon,D1,Mountain West,d1t3,7,8,3,7,7,3,5,10,3,14,4,5,,,,r16
green_bay,Green Bay,D1,Horizon League,d1t3,6,3,7,10,4,5,11,7,2,9,7,2,,r32,,
harvard,Harvard,D1,Ivy League,d1t3,9,4,4,5,5,7,4,7,4,6,6,5,,,,
high_point,High Point,D1,Big South,d1t3,11,5,5,10,4,5,11,4,2,14,2,4,r16,r32,,r32
hofstra,Hofstra,D1,CAA,d1t3,14,4,3,14,3,5,14,5,2,14,5,1,r32,r16,appearance,r16
holy_cross,Holy Cross,D1,Patriot League,d1t3,5,9,4,5,10,3,4,9,5,4,8,6,,,,
houston_christian,Houston Christian,D1,OVC,d1t4,5,8,6,4,8,6,8,7,5,11,5,3,,,,
howard,Howard,D1,NEC,d1t4,2,11,2,2,13,1,2,11,3,5,11,2,,,,
iu_indy,IU Indy,D1,Horizon League,d1t3,7,7,6,7,7,5,5,9,3,6,8,3,,,,
uiw,UIW,D1,OVC,d1t4,2,13,1,7,8,5,6,6,6,5,7,6,,,,
